vertex_num,face_num
9068,16843
20675,38046
8378,15242
7233,13866
19823,36143
15624,28970
1750,3036
7521,13194
6834,12440
12482,23380
14317,26456
20806,38776
5787,10782
26870,51166
22156,42044
7417,14084
9129,16364
18656,35308
19346,37208
9487,17866
13896,25877
19672,37490
39836,76974
19395,36730
3887,6888
13271,25679
18656,35048
8691,15678
3301,5978
11363,21093
21569,40232
15836,29230
16991,31116
6179,11855
9585,17439
22946,42554
5357,9554
10711,20339
10983,20371
12008,23231
10323,19087
17033,32318
11184,21614
9749,18407
6324,12095
11884,21555
38643,71308
7436,14076
18004,34092
18811,35513
760,1292
9271,17785
15923,30059
4781,8944
38227,73134
11455,21120
5281,9326
26770,52326
15580,29862
7103,12495
3187,5760
16277,30794
5955,10510
17338,32196
11504,20784
7033,13242
9074,17210
12287,23566
11383,20902
6462,11960
12684,24112
9562,18475
3991,7346
9659,17548
8983,16634
11924,22852
7631,13752
31871,61690
26804,51102
14243,25976
3694,6568
13834,25484
19920,38119
13405,25158
1687,2855
17558,33148
10890,20759
7003,12567
9971,18478
8922,17115
7704,14396
5135,9314
14305,26775
13418,25212
4143,7912
19060,35959
17300,31513
9328,17326
12317,23722
2625,4668
3301,5978
10401,18886
21992,41422
22139,42011
12481,23758
10638,19854
20114,37933
6465,12038
4116,7350
13916,25816
22416,41720
19384,36278
8693,15823
23144,43744
15853,29194
33698,63544
9938,18201
15599,29095
12461,23594
8770,16447
27419,52910
16760,30840
6954,12160
9551,17215
10408,18842
13382,24944
10438,18709
12328,23690
4545,8191
7954,14264
47583,90948
30620,57014
13256,25462
13836,25780
21927,39697
11416,21461
5703,10424
4298,7886
4072,7450
22159,41798
18843,35876
20394,38364
12753,24604
18270,34508
3159,5445
11416,21461
19694,37342
24152,45948
5181,9444
7753,14384
18231,34692
9868,19041
33769,62262
10180,19138
21276,40560
5780,10622
3211,5625
31871,61690
21766,40566
3805,7018
15980,30280
2891,5196
20128,37042
20897,39205
20397,37291
11965,22204
3687,6531
11947,22174
9160,16944
3148,5530
12547,22613
5652,10274
18108,34054
9064,16812
8903,16598
5380,9880
8611,16031
58327,113476
22073,41909
8516,16321
10368,18962
4512,7848
8408,15850
13564,26090
10863,20084
25344,47362
7753,14254
11020,21285
16674,30392
7095,13094
6113,11790
22877,42990
12241,22979
7373,13703
11241,20630
14427,27395
10051,18318
35672,66508
21003,40067
18802,35802
3114,5726
11931,22604
4706,8486
10180,18773
10432,20048
12278,22492
2719,4962
5002,9078
3663,6516
12567,22968
7765,13714
6849,12312
13968,25914
10899,20241
4404,7958
20350,39140
9751,18312
5723,10430
